,factsetEntityId,factsetParentEntityId,factsetParentParentEntityId,factsetUltimateParentEntityId,factsetEntityName,factsetCompanyFSymId,factsetCompanyCurrency
63,0FNWPM-E,0F00FF-E,,05W4ZP-E,Global Aviation Leasing,B99PLY-R,CNY
64,0FXRLV-E,,,0FXRLV-E,Next Alt,,
65,0G7RYN-E,00GFM6-E,,0NT7B4-E,MidCap FinCo Intermediate,VSC82Y-R,USD
66,0GD3XW-E,,,0GD3XW-E,Altice USA,X6B73L-R,USD
67,0GD5TK-E,0FZ6XP-E,,075ZB2-E,,,
68,0GHX53-E,0FPWN5-E,,0FXRLV-E,,,
69,0GL3K3-E,,,0GL3K3-E,Vistra,KZNLFS-R,USD
70,0GZVYL-E,0BKBY6-E,,0NT7B4-E,Rackspace Technology,VSC82Y-R,USD
71,0H02W7-E,00875M-E,,05JLR3-E,Ithaca Energy Inc,V0FD1L-R,ILS
72,0H1LNF-E,,,0H1LNF-E,USI Advantage,,
73,0HM28M-E,,,0HM28M-E,ContourGlobal,QJK6LT-R,GBP
74,0HMXJG-E,,,0HMXJG-E,Liberty Latin America,CYGKRS-R,USD
75,0JT0YF-E,,,0JT0YF-E,Garrett Motion,LDMCQV-R,USD
76,0JXNZL-E,,,0JXNZL-E,New Fortress Energy,QZRML4-R,USD
77,0K74W8-E,,,0K74W8-E,Vista Global Holding,,
78,0KDHKL-E,,,0KDHKL-E,Concrete Pumping Holdings,K3BRG5-R,USD
79,0L5CHM-E,,,0L5CHM-E,,,
80,0LHT98-E,,,0LHT98-E,Hess Midstream LP,KM84B2-R,USD
81,0LJ255-E,0LJ252-E,,0PMNP1-E,Motion Midco,GZ04LP-S,GBP
82,0LQCT7-E,,,0LQCT7-E,,,
83,0M0J04-E,,,0M0J04-E,Vertiv Holdings,K1CWC1-R,USD
84,0MHQD7-E,,,0MHQD7-E,TK Elevator Topco,,
85,0MWY7N-E,,,0MWY7N-E,McAfee Corp,N1PM1D-R,USD
86,0MXN0L-E,0GD3XW-E,,0GD3XW-E,Lightpath Holdings,X6B73L-R,USD
87,0N5QN1-E,,,0N5QN1-E,Arches Holdings,,
88,0NLBJC-E,,,0NLBJC-E,Constellation Ins Holding,,
89,0NSRPW-E,,,0NSRPW-E,Frontier Communications,W2Z9NS-R,USD
90,0NT7B4-E,,,0NT7B4-E,Apollo Global Management,VSC82Y-R,USD
91,0P1WYF-E,,,0P1WYF-E,Orbit Private Investments,,
92,0P2QZQ-E,069J8N-E,,069J8N-E,DIRECTV Entertainment,VLHKF9-R,USD
93,0P6Z0M-E,,,0P6Z0M-E,Life Time Group Holdings,FM6S64-R,USD
94,0PMNP1-E,,,0PMNP1-E,Motion JVCO,GZ04LP-S,GBP
95,0PP7K5-E,,,0PP7K5-E,Crescent Energy,RNQNZT-R,USD
96,0Q0F99-E,0PP7K5-E,,0PP7K5-E,,RNQNZT-R,USD
97,0R1PPZ-E,0FGZ08-E,,0FGZ08-E,,DV623H-R,USD
98,0RFSXG-E,,,0RFSXG-E,Oscar Intermediate,,
99,0SMNWJ-E,,,0SMNWJ-E,Investment Vehicle 1,,
100,0VWV0K-E,0VWC8V-E,,05L174-E,HGH Finance,S9CW2R-S,GBP
101,0VYNYJ-E,,,0VYNYJ-E,Hockey Investments,,
102,0VYP0W-E,0VYP0L-E,,0VYNYJ-E,,,
103,0WR605-E,001SS7-E,,0L5CHM-E,,,
104,0X7FJV-E,,,0X7FJV-E,Impero Jersey,,
105,0XFK1V-E,,,0XFK1V-E,Liberty Infrabuild,,
106,0XV4MR-E,,,0XV4MR-E,Wonder Group,,
107,0XYNQD-E,,,0XYNQD-E,Freedom Mortgage Holdings,,
108,0XZ6ZJ-E,,,0XZ6ZJ-E,JFIN Parent,,
109,0Y0QV7-E,,,0Y0QV7-E,Ejlshm Funding Ltd,,
110,0YM4N9-E,0FBRPJ-E,,0Y0QV7-E,Zegona Holdco,,
111,0ZKP8X-E,,,0ZKP8X-E,Summit Midstream,DHD5TM-R,USD
112,0ZNTWF-E,09LQ3D-E,,003XXN-E,,,
113,104LRK-E,,,104LRK-E,,,
114,001SS7-E,0WR60X-E,,0L5CHM-E,Osaic Financial Services,,
115,00875M-E,0FTN24-E,,05JLR3-E,Ithaca Energy E&P,V0FD1L-R,ILS
116,00DDD2-E,0794G2-E,,0794G2-E,,P7L4XG-R,USD
117,00DDD2-E,0794G2-E,,0794G2-E,,QVGMT6-R,USD
118,00GFM6-E,0BKBY6-E,,0NT7B4-E,MidCap FinCo,VSC82Y-R,USD
119,05MVK9-E,0014W4-E,,0014W4-E,AmeriGas,RS288R-R,USD
120,09LQ3D-E,0XY823-E,,003XXN-E,Epic Aero,,
121,0BKBY6-E,07HJLS-E,,0NT7B4-E,Apollo Capital Management,VSC82Y-R,USD
122,0F00FF-E,09SR5L-E,,05W4ZP-E,Hong Kong Bohai Leasing,B99PLY-R,CNY
123,0FBRPJ-E,0Y0QV7-E,,0Y0QV7-E,Zegona Communications,,
124,0FPWN5-E,0Q0KD6-E,,0FXRLV-E,Altice Europe,,
125,0FZ6XP-E,075ZB2-E,,075ZB2-E,Hertz Global Holdings,,
126,0GKHYH-E,0K74W8-E,,0K74W8-E,VistaJet Group Holding,,
127,0LJ252-E,0PMNP1-E,,0PMNP1-E,Motion Topco,GZ04LP-S,GBP
128,0NZV79-E,0P1WYF-E,,0P1WYF-E,Orbit Private Holdings I,,
129,0VWC8V-E,0Z1H9X-E,,05L174-E,,S9CW2R-S,GBP
130,0VYP0L-E,0HHCPT-E,,0VYNYJ-E,,,
131,0014W4-E,,,0014W4-E,UGI Corp,RS288R-R,USD
132,075ZB2-E,,,075ZB2-E,Knighthead Capital Mgmt,,
133,0794G2-E,,,0794G2-E,iHeartMedia,P7L4XG-R,USD
134,0794G2-E,,,0794G2-E,iHeartMedia,QVGMT6-R,USD
135,07HJLS-E,0DQJVY-E,,0NT7B4-E,Apollo Management Hldgs,VSC82Y-R,USD
136,09SR5L-E,05W4ZP-E,,05W4ZP-E,Tianjin Bohai Leasing,B99PLY-R,CNY
137,0FTN24-E,05JLR3-E,,05JLR3-E,DKL Investments,V0FD1L-R,ILS
138,0HHCPT-E,0VYNYJ-E,,0VYNYJ-E,Hockey Parent Holdings,,
139,0K74W8-E,,,0K74W8-E,Vista Global Holding,,
140,0P1WYF-E,,,0P1WYF-E,Orbit Private Investments,,
141,0PMNP1-E,,,0PMNP1-E,Motion JVCO,GZ04LP-S,GBP
142,0Q0KD6-E,0MTY3Y-E,,0FXRLV-E,,,
143,0WR60X-E,0L6D1F-E,,0L5CHM-E,,,
144,0XY823-E,003XXN-E,,003XXN-E,,,
145,0Y0QV7-E,,,0Y0QV7-E,Ejlshm Funding Ltd,,
146,0Z1H9X-E,05L174-E,,05L174-E,,S9CW2R-S,GBP
